batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
50,27,1,1,51.2706,59.0404,-15.15449399850986,975.2177661271762,846.8777311806831
50,28,1,1,51.1694,58.8497,-15.009556492747608,977.1464977115228,849.6220031707893
50,29,1,1,51.2338,59.1794,-15.50851195890213,975.9182414734023,844.8885929901284
50,30,1,1,51.5452,59.0349,-14.530353941783131,970.0224269185104,846.9566307387664
100,1,1,1,103.1528,114.5026,-11.00290055141499,969.435633351688,873.3426140541787
100,2,1,1,102.8883,113.8119,-10.616950615376085,971.927809090052,878.6427429820608
100,3,1,1,102.9873,114.0753,-10.766376048308862,970.993510850367,876.6139558695002
100,4,1,1,103.5897,114.0728,-10.119828515769434,965.3469408638118,876.6331675912224
100,5,1,1,102.3827,114.2832,-11.62354577482328,976.7275135350015,875.0192504235094
100,6,1,1,102.2816,113.7012,-11.164862497262462,977.6929574820887,879.4981935107105
100,7,1,1,104.7541,115.1027,-9.878945072316984,954.6165734801789,868.7893507276546
100,8,1,1,102.873,114.4199,-11.224422345999429,972.0723610665577,873.9738454587008
100,9,1,1,102.7816,113.8812,-10.7992091969769,972.9367902426116,878.1080634907254
100,10,1,1,103.1791,114.4207,-10.895229750986383,969.1885275215619,873.9677348591645
100,11,1,1,105.2138,114.5384,-8.862525638271775,950.4456639718363,873.0696430192844
100,12,1,1,102.8711,113.5856,-10.41546167971374,972.090314966983,880.3932892901918
100,13,1,1,103.6748,114.9177,-10.844390343651485,964.5545494179877,870.1879693032492
100,14,1,1,102.8373,113.7084,-10.571164353789918,972.4098162826135,879.442503807986
100,15,1,1,105.7771,115.1215,-8.834048201359266,945.3842088694056,868.647472453017
100,16,1,1,104.4172,115.879,-10.976927172917884,957.696624694016,862.9691315941628
100,17,1,1,103.4353,114.8938,-11.07793954288333,966.7879340998674,870.3689842271732
100,18,1,1,102.671,114.4952,-11.51659183216292,973.984864275209,873.3990595238928
100,19,1,1,103.3583,114.6562,-10.930810588022442,967.5081730252916,872.1726343625552
100,20,1,1,103.2483,114.8378,-11.224882153023342,968.538949309577,870.7934147118806
100,21,1,1,102.5813,115.0027,-12.108834651149873,974.8365442824374,869.5448019916054
100,22,1,1,103.5038,115.3278,-11.423735167211252,966.1481027749707,867.0936235669111
100,23,1,1,102.4428,113.911,-11.19473501309999,976.1544979246955,877.8783436191412
100,24,1,1,105.486,115.3588,-9.359346263959196,947.993098610242,866.8606122809877
100,25,1,1,102.9452,113.6365,-10.385428363828522,971.3906039329663,879.9989440012672
100,26,1,1,105.4231,114.9652,-9.051242090206028,948.558712464346,869.8284350394729
100,27,1,1,103.1317,113.989,-10.527606933658623,969.6339728715808,877.2776320522155
100,28,1,1,103.4865,114.5886,-10.728065979620522,966.3096152638266,872.6871608519522
100,29,1,1,102.7038,114.1187,-11.114389146263335,973.6738075903716,876.2805745245959
100,30,1,1,103.859,115.7986,-11.495970498464263,962.8438556119355,863.5682987531802
200,1,1,1,205.2742,223.7013,-8.97682222120461,974.3065616624008,894.0493416891185
200,2,1,1,206.398,223.6086,-8.338549792149148,969.0016376127676,894.4199820579352
200,3,1,1,204.9731,224.2922,-9.42518798808235,975.7377919346491,891.6939599326237
200,4,1,1,205.6611,224.0162,-8.924925520674543,972.4736471797535,892.7925748227137
200,5,1,1,208.6503,223.5687,-7.149953774329594,958.5416364126963,894.5796079683784
200,6,1,1,205.5118,223.2346,-8.623738393610491,973.1801288295854,895.9184642524053
200,7,1,1,206.0171,229.5339,-11.414974776365646,970.7932011468951,871.3309885816432
200,8,1,1,206.8335,224.412,-8.498865029117633,966.9613481375117,891.2179384346648
