batch_size,invalid_ratio_pct,invalid_requests,latency_ms,verification_calls,max_recursion_depth,isolated_invalid,isolation_correct,throughput_auth_s
25,20,5,78.5174,25,5,5,1,318.4007621240642
25,20,5,78.7109,25,5,5,1,317.61801732669807
25,20,5,76.9519,25,5,5,1,324.87826811293814
25,20,5,84.7798,27,5,5,1,294.881563768728
25,20,5,101.2984,31,5,5,1,246.7956058535969
25,20,5,83.3436,29,5,5,1,299.96304455291113
25,20,5,80.5859,27,5,5,1,310.2279679199463
25,20,5,78.1009,27,5,5,1,320.0987440605678
25,20,5,95.0634,31,5,5,1,262.98238859540055
25,20,5,89.5629,29,5,5,1,279.13343583113095
25,20,5,82.3131,29,5,5,1,303.7183631766997
25,20,5,89.5748,29,5,5,1,279.0963529921362
25,20,5,99.7178,33,5,5,1,250.70749655527902
25,20,5,95.1749,31,5,5,1,262.6742975301261
25,20,5,73.4073,25,5,5,1,340.56558407678796
25,20,5,98.7259,33,5,5,1,253.22635701472464
25,20,5,93.1815,31,5,5,1,268.29359905131383
25,20,5,73.9783,23,5,5,1,337.9369355608333
25,20,5,95.1756,31,5,5,1,262.67236560631085
25,20,5,84.5755,29,5,5,1,295.5938776596059
25,20,5,67.0544,23,5,5,1,372.8316113483977
25,20,5,98.6154,31,5,5,1,253.51010085645854
25,20,5,106.2502,35,5,5,1,235.2936747413181
25,30,8,88.6458,35,5,8,1,282.0212576343155
25,30,8,102.2801,41,5,8,1,244.42682398628864
25,30,8,91.0309,37,5,8,1,274.6320205556575
25,30,8,85.2185,35,5,8,1,293.36353021937725
25,30,8,105.7833,41,5,8,1,236.3321998841027
25,30,8,77.7896,31,5,8,1,321.3797217108714
25,30,8,81.8037,35,5,8,1,305.60964846333354
25,30,8,87.2388,35,5,8,1,286.569737318716
25,30,8,89.6975,37,5,8,1,278.7145684104908
25,30,8,89.3524,37,5,8,1,279.7910296757558
25,30,8,101.702,39,5,8,1,245.81620813749976
25,30,8,68.7276,29,5,8,1,363.75488159051093
25,30,8,79.6136,33,5,8,1,314.0167006642081
25,30,8,70.6383,31,5,8,1,353.9156519904924
25,30,8,94.798,39,5,8,1,263.71864385324585
25,30,8,80.25,33,5,8,1,311.52647975077883
25,30,8,88.1181,37,5,8,1,283.7101571640786
25,30,8,87.308,37,5,8,1,286.34260319787415
25,30,8,76.3389,33,5,8,1,327.4870347882927
25,30,8,90.5956,37,5,8,1,275.9515914680183
25,30,8,72.6848,31,5,8,1,343.950867306507
25,30,8,86.8457,35,5,8,1,287.8668719349375
25,30,8,106.7937,41,5,8,1,234.0962060496078
25,30,8,93.596,37,5,8,1,267.10543185606224
25,30,8,84.1074,33,5,8,1,297.23900631811233
25,30,8,81.1883,35,5,8,1,307.9261420672683
25,30,8,87.8516,35,5,8,1,284.5707989382094
25,30,8,72.3536,29,5,8,1,345.5253090378364
25,30,8,94.6998,39,5,8,1,263.9921098038222
25,30,8,99.0631,41,5,8,1,252.36440208311672
50,0,0,60.5785,1,0,0,1,825.3753394356083
50,0,0,65.6414,1,0,0,1,761.7144058475291
50,0,0,61.2811,1,0,0,1,815.9122470060099
50,0,0,59.9103,1,0,0,1,834.5810319761376
50,0,0,59.6916,1,0,0,1,837.6387967486212
50,0,0,62.5256,1,0,0,1,799.6724541627749
50,0,0,98.1894,1,0,0,1,509.21993616418877
50,0,0,60.3898,1,0,0,1,827.9543896485831
50,0,0,59.1892,1,0,0,1,844.7487041554879
50,0,0,60.223,1,0,0,1,830.2475798283048
50,0,0,59.9643,1,0,0,1,833.8294618631419
50,0,0,59.6379,1,0,0,1,838.3930353013772
50,0,0,62.8943,1,0,0,1,794.9846011482757
50,0,0,62.117,1,0,0,1,804.9326271391085
50,0,0,70.9397,1,0,0,1,704.8239561204797
50,0,0,60.6203,1,0,0,1,824.8062117805422
50,0,0,59.1342,1,0,0,1,845.5343946481055
50,0,0,59.968,1,0,0,1,833.778014941302
50,0,0,65.6039,1,0,0,1,762.1498112154918
50,0,0,60.8926,1,0,0,1,821.117836978549
50,0,0,63.4584,1,0,0,1,787.9177539931673
50,0,0,62.2444,1,0,0,1,803.2851148055087
50,0,0,62.8781,1,0,0,1,795.1894220722318
50,0,0,61.7185,1,0,0,1,810.12986381717
50,0,0,61.9308,1,0,0,1,807.3527227163221
50,0,0,61.5943,1,0,0,1,811.763426161187
50,0,0,61.1745,1,0,0,1,817.3340198939101
50,0,0,62.6801,1,0,0,1,797.7013438076838
50,0,0,61.0348,1,0,0,1,819.2047815344689
50,0,0,60.8112,1,0,0,1,822.216960033678
50,5,2,139.3507,23,6,2,1,358.8069525305578
