r_B,batch_size,repetition,individual_valid,batch_valid,individual_ms,batch_ms,reduction_pct,individual_throughput,batch_throughput
1,5,16,1,1,5.227,2.2262,57.40960397933806,956.5716472163764,2245.979696343545
1,5,17,1,1,5.1818,2.1862,57.81002740360493,964.9156663707591,2287.073460799561
1,5,18,1,1,5.3988,2.2111,59.044602504260205,926.1317329776988,2261.317896069829
1,5,19,1,1,5.2608,2.2941,56.392563868613145,950.425790754258,2179.5039449021406
1,5,20,1,1,5.2407,2.2456,57.150762302745825,954.0710210468067,2226.576416102601
1,5,21,1,1,5.2747,2.2035,58.22511232866324,947.9212087891254,2269.117313365101
1,5,22,1,1,5.6205,2.3199,58.72431278356019,889.6005693443644,2155.26531316005
1,5,23,1,1,5.3222,2.2008,58.648679117658105,939.4611250986434,2271.901126862959
1,5,24,1,1,5.2003,2.2306,57.10632078918524,961.4829913658826,2241.549358916883
1,5,25,1,1,5.233,2.1818,58.306898528568695,955.4748710108925,2291.685764048034
1,5,26,1,1,5.2411,2.2372,57.31430424910802,953.9982064833717,2234.9365278026103
1,5,27,1,1,5.3604,2.2479,58.06469666442803,932.7662114767554,2224.2982339072023
1,5,28,1,1,5.2901,2.1896,58.60947808169977,945.1617171698077,2283.5221044939717
1,5,29,1,1,5.2855,2.2326,57.75990918550752,945.9842966606753,2239.541341933172
1,5,30,1,1,5.2895,2.1768,58.84677190660744,945.2689290103034,2296.949650863653
1,10,1,1,1,10.4208,3.7555,63.96150007676954,959.619223092277,2662.7612834509387
1,10,2,1,1,10.4974,3.5892,65.80867643416465,952.6168384552365,2786.1361863367883
1,10,3,1,1,10.5478,3.6794,65.11689641441818,948.0649993363544,2717.8344295265533
1,10,4,1,1,10.3232,3.5318,65.78774023558586,968.6918784872909,2831.417407554222
1,10,5,1,1,10.5417,3.6528,65.34904237456958,948.6136012218142,2737.6259307928167
1,10,6,1,1,10.466,3.6011,65.59239442002675,955.4748710108925,2776.929271611452
1,10,7,1,1,10.3664,3.5468,65.78561506405309,964.6550393579255,2819.44287808729
1,10,8,1,1,10.5236,3.6188,65.61252803223232,950.2451632521191,2763.3469658450317
1,10,9,1,1,10.5116,3.6094,65.66269644963658,951.3299592830778,2770.543580650524
1,10,10,1,1,10.4659,3.5428,66.1491128331056,955.4840004204129,2822.626171389861
1,10,11,1,1,10.4431,3.6476,65.0716741197537,957.5700701898862,2741.528676389955
1,10,12,1,1,10.7538,3.6912,65.67538916476036,929.9038479421228,2709.1460771564803
1,10,13,1,1,10.5085,3.579,65.94185659228243,951.6106009420945,2794.076557697681
1,10,14,1,1,10.5895,3.6164,65.84919023561073,944.3316492752255,2765.1808428271206
1,10,15,1,1,10.5966,3.6307,65.73712322820528,943.6989222958306,2754.2898063734265
1,10,16,1,1,10.5231,3.6299,65.50541190333647,950.2903136908327,2754.8968291137494
1,10,17,1,1,10.6026,3.642,65.64993492162301,943.1648840850357,2745.744096650192
1,10,18,1,1,10.4244,3.5495,65.95007866160162,959.2878247189286,2817.298211015636
1,10,19,1,1,10.5959,3.6352,65.69239045291103,943.7612661501147,2750.8802816901407
1,10,20,1,1,10.4616,3.5552,66.0166704901736,955.8767301368814,2812.7812781278126
1,10,21,1,1,10.6074,3.6062,66.00297905235968,942.7380885042518,2773.0020520215185
1,10,22,1,1,10.6046,3.8494,63.70065820492994,942.9870056390624,2597.807450511768
1,10,23,1,1,10.5514,3.6899,65.02928521333662,947.7415319294123,2710.100544730209
1,10,24,1,1,10.5051,3.6046,65.6871424355789,951.9185919220189,2774.232924596349
1,10,25,1,1,10.5911,3.6329,65.69855822341401,944.1889888680117,2752.6218723333977
1,10,26,1,1,10.5719,3.5595,66.33055552928046,945.9037637510761,2809.383340356792
1,10,27,1,1,10.4476,3.5376,66.13959186798883,957.1576247176386,2826.7752148349164
1,10,28,1,1,10.6212,3.591,66.19026098745904,941.5132000150642,2784.73962684489
1,10,29,1,1,10.4416,3.5508,65.99371743794055,957.707631014404,2816.2667567872027
1,10,30,1,1,10.478,3.5516,66.10421836228286,954.3806069860661,2815.632391035026
1,25,1,1,1,26.312,8.2496,68.64700516874431,950.136819702037,3030.449961210241
1,25,2,1,1,26.6967,7.976,70.1236482411684,936.4453284488345,3134.4032096288865
1,25,3,1,1,26.3196,7.9661,69.73320263225885,949.8624599158042,3138.298540063519
1,25,4,1,1,26.1985,8.1164,69.01960035879915,954.2531060938603,3080.1833325119505
1,25,5,1,1,27.8211,8.5145,69.39553073027308,898.5985457081135,2936.167713899818
1,25,6,1,1,31.5996,9.5757,69.69676831352295,791.1492550538615,2610.7751913698216
1,25,7,1,1,36.3602,10.8093,70.27161566768059,687.564974890127,2312.8232170445817
1,25,8,1,1,32.0001,9.6979,69.69415720575873,781.2475586013793,2577.8776848596085
